RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;D66;PVV (Partij voor de Vrijheid);CDA;SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);GROENLINKS;Forum voor Democratie;Partij voor de Dieren;ChristenUnie;Volt;JA21;Staatkundig Gereformeerde Partij (SGP);DENK;50PLUS;BBB;BIJ1;CODE ORANJE;NIDA;Splinter;Piratenpartij;JONG;Trots op Nederland (TROTS);Lijst Henk Krol;NLBeter;Blanco (Zeven, A.J.L.B.);LP (Libertaire Partij);OPRECHT;JEZUS LEEFT;DE FEESTPARTIJ (DFP);U-Buntu Connected Front;Vrij en Sociaal Nederland;Partij van de Eenheid;Wij zijn Nederland;Partij voor de Republiek;Modern Nederland;De Groenen
Aa en Hunze;G1680;10787;Assen;K3;20921;17444;32;25;17387;4323;2679;1482;1429;1290;1880;835;691;746;411;311;328;58;11;171;467;35;41;5;60;28;18;24;9;11;26;4;9;3;;;;;;;2;
Aalsmeer;G0358;11264;Haarlem;K10;23249;19563;23;35;19505;6301;2742;2068;2114;636;794;561;950;591;743;344;702;114;165;180;74;81;56;36;63;42;26;39;25;14;;12;11;;12;2;5;;2;;;
Aalten;G0197;11046;Arnhem;K7;21386;17215;18;16;17181;3782;2045;1470;3241;1133;872;617;737;363;876;177;355;109;73;180;899;20;60;4;29;24;31;22;17;14;9;5;4;12;;1;;;;;;
Achtkarspelen;G0059;10199;Leeuwarden;K2;21772;16976;20;27;16929;2193;1071;2923;3047;1077;1117;365;1652;356;1603;123;273;351;7;85;418;19;67;4;28;16;28;43;10;8;;8;15;16;;;0;;;4;;2
Alblasserdam;G0482;11327;Dordrecht;K14;15070;12203;25;16;12162;2115;1059;1330;1044;619;677;254;679;287;1084;78;332;2006;206;150;40;30;54;28;25;11;15;;9;4;5;1;7;11;;;;;1;;1;
Albrandswaard;G0613;10124;Dordrecht;K14;19624;15859;16;22;15821;4578;2069;1991;1215;783;694;439;854;572;445;273;901;204;192;201;45;85;89;28;54;24;18;;16;12;16;7;4;10;;;;;2;;0;
Alkmaar;G0361;10527;Den Helder;K11;85247;68680;170;132;68378;14207;12290;6100;4630;4506;4413;4671;3979;3966;1019;1705;1669;164;1220;804;701;427;355;233;308;233;105;162;57;84;169;60;29;30;59;13;;;10;;;
Almelo;G0141;11053;Zwolle;K4;55728;40939;125;61;40753;8416;4501;6293;5184;2758;2379;1414;2685;1062;1296;545;882;225;1485;386;416;78;149;99;63;81;46;89;38;31;31;24;40;34;;3;;13;7;;;
Almere;G0034;10018;Lelystad;K5;152746;109261;339;257;108665;23803;15672;13011;5130;6899;5890;6086;7035;4831;2474;2249;2766;354;3740;1579;284;3658;574;873;426;432;237;;132;131;;74;80;102;;101;;42;;;;
Alphen aan den Rijn;G0484;10517;Leiden;K15;85935;69972;130;154;69688;18259;10223;6648;7041;3404;2872;2785;3573;2372;3071;1364;2059;1738;1239;706;485;285;354;288;246;143;151;;52;74;111;42;60;26;;9;;;;;8;
Alphen-Chaam;G1723;10710;Tilburg;K17;8165;6911;11;12;6888;2251;861;693;1108;378;195;186;314;214;40;105;185;4;6;79;174;6;21;1;16;5;9;;8;7;4;2;1;3;9;1;;2;;;;
Altena;G1959;10078;Tilburg;K17;43318;35415;30;33;35352;7451;2510;4372;4841;1448;1091;627;2253;780;3424;311;818;4387;37;274;281;45;95;5;71;38;34;;27;27;12;10;13;48;22;0;;0;;;;
Ameland;G0060;11153;Leeuwarden;K2;2935;2893;3;7;2883;753;352;263;453;126;206;93;130;97;60;51;94;9;2;15;132;3;11;0;8;6;4;8;2;2;;0;1;0;;;2;;;0;;0
Amersfoort;G0307;10948;Utrecht;K8;118081;97185;191;148;96846;19713;19471;6623;6830;4682;4942;7183;3522;4480;6127;3335;1813;860;3413;763;268;732;256;558;347;224;174;138;70;91;;53;43;40;45;22;28;;;;;
